# area_cvx	area_msd	area_ratio	area_um	aspect	bright_avg	bright_sd	circ	deform	emodulus	frame	index	inert_ratio_cvx	inert_ratio_raw	pos_x	pos_y	size_x	size_y	time	volume
# Convex area [px]	Measured area [px]	Porosity (convex to measured area ratio)	Area [µm≤]	Aspect ratio of bounding box	Brightness average within contour [a.u.]	Brightness SD  within contour [a.u.]	Circularity	Deformation	Young's Modulus [kPa]	Video frame number	Event index	Inertia ratio of convex contour sqrt(m20/m02)	Inertia ratio of raw contour sqrt(m20/m02)	Position along channel axis [µm]	Position lateral in channel [µm]	Bounding box size x [µm]	Bounding box size y [µm]	Event time [s]	Volume [µm≥]
1.2360000000e+03	1.1755000000e+03	1.0514674187e+00	1.4288159180e+02	1.5454545021e+00	5.7556360709e+01	8.8794283026e+00	9.1003262997e-01	8.9967370033e-02	7.2954251750e-01	2.7268800000e+05	3.9100000000e+02	1.5412851544e+00	1.5802392890e+00	2.5607694626e+01	1.3243724823e+01	1.7340000153e+01	1.1220000267e+01	5.4204998016e+00	9.6892865997e+02
1.2840000000e+03	1.2450000000e+03	1.0313253403e+00	1.4843038940e+02	1.5625000000e+00	5.7336890244e+01	7.6099208411e+00	9.1969680786e-01	8.0303192139e-02	7.8990606759e-01	2.7276000000e+05	3.9200000000e+02	1.5920082601e+00	1.6177523005e+00	4.2525421143e+01	1.3450257301e+01	1.7000000000e+01	1.0880000114e+01	5.4565000534e+00	1.0416439310e+03
2.1105000000e+03	9.0150000000e+02	2.3410980701e+00	2.4397380066e+02	1.8974359035e+00	5.5782608696e+01	8.7517891943e+00	8.6980152130e-01	1.3019847870e-01	9.0743690130e-01	2.7277000000e+05	3.9300000000e+02	1.7991237787e+00	1.7343345791e+00	1.7848913193e+01	1.3103519440e+01	2.5159999847e+01	1.3260000229e+01	5.4615001678e+00	1.0918431658e+03
7.9950000000e+02	7.8200000000e+02	1.0223785639e+00	9.2422195435e+01	1.4074074030e+00	5.5684717208e+01	7.0444177752e+00	9.6086663008e-01	3.9133369923e-02	8.0586294416e-01	2.7277200000e+05	3.9400000000e+02	1.3896364031e+00	1.3922563171e+00	3.3649650574e+01	1.3469089508e+01	1.2920000076e+01	9.1800003052e+00	5.4625000954e+00	5.5591636577e+02
1.7070000000e+03	1.6035000000e+03	1.0645463467e+00	1.9732919312e+02	1.6216216087e+00	5.8875222816e+01	9.1880013205e+00	9.1541975737e-01	8.4580242634e-02	9.7183710728e-01	2.7277300000e+05	3.9500000000e+02	1.6052638090e+00	1.5415140518e+00	1.6758361816e+01	1.3128840446e+01	2.0399999619e+01	1.2579999924e+01	5.4629998207e+00	1.5637711341e+03
1.3350000000e+03	1.3075000000e+03	1.0210324526e+00	1.5432600403e+02	1.6250000000e+00	5.7350800582e+01	9.0915173174e+00	9.2901563644e-01	7.0984363556e-02	8.6328016911e-01	2.7280400000e+05	3.9600000000e+02	1.6481250336e+00	1.6690840022e+00	7.0598175049e+01	1.3467778206e+01	1.7680000305e+01	1.0880000114e+01	5.4784998894e+00	1.1000722906e+03
8.0450000000e+02	7.8950000000e+02	1.0189993382e+00	9.3000198364e+01	1.1666667461e+00	5.0421052632e+01	9.8757707878e+00	9.8692137003e-01	1.3078629971e-02	1.6872147356e+00	2.7283700000e+05	3.9700000000e+02	1.1526937776e+00	1.1559582743e+00	1.0672985077e+01	1.3044815063e+01	1.1900000572e+01	1.0199999809e+01	5.4949998856e+00	6.1400790431e+02
1.0785000000e+03	1.0415000000e+03	1.0355256796e+00	1.2467459869e+02	1.5000000000e+00	5.5427923844e+01	1.1184029701e+01	9.2841124535e-01	7.1588754654e-02	7.3118805709e-01	2.7283900000e+05	3.9800000000e+02	1.5237632422e+00	1.5267084739e+00	1.8387321472e+01	1.3488243103e+01	1.5300000191e+01	1.0199999809e+01	5.4959998131e+00	8.2307639831e+02
1.2405000000e+03	1.2040000000e+03	1.0303156376e+00	1.4340179443e+02	1.7666667700e+00	5.7428346457e+01	7.8679545175e+00	9.0403515100e-01	9.5964848995e-02	7.1123237887e-01	2.7286800000e+05	3.9900000000e+02	1.7667800207e+00	1.7905442345e+00	1.9038082123e+01	1.3530337334e+01	1.8020000458e+01	1.0199999809e+01	5.5104999542e+00	9.4289873812e+02
1.6120000000e+03	1.5550000000e+03	1.0366559029e+00	1.8634719849e+02	1.5135135651e+00	5.8584407612e+01	8.4572243266e+00	9.1528713703e-01	8.4712862968e-02	9.2433977294e-01	2.7286900000e+05	4.0000000000e+02	1.5431212219e+00	1.5549369678e+00	2.6071975708e+01	1.3597680092e+01	1.9040000916e+01	1.2579999924e+01	5.5110001564e+00	1.4856864899e+03
1.8020000000e+03	1.6810000000e+03	1.0719809532e+00	2.0831118774e+02	1.8918919563e+00	5.8248018120e+01	8.7860362310e+00	8.6291307211e-01	1.3708692789e-01	7.8802167734e-01	2.7287500000e+05	4.0100000000e+02	1.8057645544e+00	1.7603215862e+00	3.9422264099e+01	1.3169874191e+01	2.3800001144e+01	1.2579999924e+01	5.5139999390e+00	1.5682464798e+03
1.2785000000e+03	1.2035000000e+03	1.0623182058e+00	1.4779460144e+02	1.8709676266e+00	5.6937254902e+01	7.7760305612e+00	8.6472100019e-01	1.3527899981e-01	6.3248240455e-01	2.7288600000e+05	4.0200000000e+02	1.7848054547e+00	1.6612394575e+00	3.8075878143e+01	1.3528152466e+01	1.9719999313e+01	1.0539999962e+01	5.5194997787e+00	9.8119980985e+02
1.3840000000e+03	1.0630000000e+03	1.3019754887e+00	1.5999040222e+02	2.6551725864e+00	5.6296264118e+01	8.5924205349e+00	7.4878203869e-01	2.5121796131e-01	nan	2.7291000000e+05	4.0300000000e+02	2.6643383346e+00	2.0930098070e+00	3.7605293274e+01	1.3013066292e+01	2.6180000305e+01	9.8599996567e+00	5.5314998627e+00	7.5983186411e+02
1.8070000000e+03	1.7255000000e+03	1.0472326279e+00	2.0888919067e+02	1.6756756306e+00	5.9477587161e+01	7.1716577024e+00	8.9873975515e-01	1.0126024485e-01	9.2683576488e-01	2.7300000000e+05	4.0400000000e+02	1.6724410770e+00	1.6530316441e+00	5.7852497101e+01	1.3528563499e+01	2.1079999924e+01	1.2579999924e+01	5.5764999390e+00	1.6824220709e+03
1.3255000000e+03	1.2810000000e+03	1.0347385406e+00	1.5322779846e+02	1.6250000000e+00	5.7939259259e+01	7.3187237938e+00	9.0932303667e-01	9.0676963329e-02	7.6551885588e-01	2.7301500000e+05	4.0500000000e+02	1.6087106433e+00	1.6230976717e+00	3.2488960266e+01	1.3901182175e+01	1.7680000305e+01	1.0880000114e+01	5.5840001106e+00	1.0887884890e+03
4.5450000000e+02	4.0950000000e+02	1.1098901033e+00	5.2540199280e+01	1.0416666269e+00	4.8948660714e+01	7.7367137260e+00	9.6435970068e-01	3.5640299320e-02	6.2493899861e-01	2.7302000000e+05	4.0600000000e+02	9.8697283350e-01	1.0014948247e+00	3.8189342499e+01	1.4061312675e+01	8.5000000000e+00	8.1599998474e+00	5.5865001678e+00	2.4954025797e+02
1.9090000000e+03	1.7920000000e+03	1.0652902126e+00	2.2068038940e+02	1.8333333731e+00	5.9825624668e+01	7.5199117178e+00	8.9881819487e-01	1.0118180513e-01	9.7110500171e-01	2.7305700000e+05	4.0700000000e+02	1.8199379380e+00	1.8020333194e+00	7.0536941528e+01	1.3013652802e+01	2.2440000534e+01	1.2239999771e+01	5.6050000191e+00	1.7121759719e+03
1.7275000000e+03	1.6280000000e+03	1.0611178875e+00	1.9969898987e+02	1.6578947306e+00	5.9648886284e+01	7.8602492765e+00	9.0367925167e-01	9.6320748329e-02	9.1678324179e-01	2.7306600000e+05	4.0800000000e+02	1.5692416197e+00	1.5480482925e+00	5.3400272369e+01	1.3136596680e+01	2.1420000076e+01	1.2920000076e+01	5.6094999313e+00	1.5963034373e+03
9.0750000000e+02	8.8700000000e+02	1.0231115818e+00	1.0490699768e+02	1.7307692766e+00	5.4777070064e+01	8.0444086365e+00	9.2142373323e-01	7.8576266766e-02	6.2309532028e-01	2.7307200000e+05	4.0900000000e+02	1.7032479730e+00	1.7062179090e+00	3.8459213257e+01	1.3811992645e+01	1.5300000191e+01	8.8400001526e+00	5.6125001907e+00	6.0895019604e+02
1.2700000000e+03	1.1680000000e+03	1.0873287916e+00	1.4681199646e+02	1.9677419662e+00	5.6970967742e+01	7.9271356560e+00	8.6139357090e-01	1.3860642910e-01	6.2431297940e-01	2.7310200000e+05	4.1000000000e+02	1.8685355922e+00	1.7175930047e+00	3.4477741241e+01	1.4400026321e+01	2.0739999771e+01	1.0539999962e+01	5.6275000572e+00	9.2217146975e+02
9.8750000000e+02	9.4050000000e+02	1.0499733686e+00	1.1415499878e+02	1.2812500000e+00	5.4726907631e+01	7.9503806882e+00	9.5575320721e-01	4.4246792793e-02	8.6802737817e-01	2.7316000000e+05	4.1100000000e+02	1.3348969579e+00	1.3656858202e+00	2.3747665405e+01	1.3378440857e+01	1.3940000534e+01	1.0880000114e+01	5.6564998627e+00	7.4138429877e+02
1.3730000000e+03	1.3270000000e+03	1.0346646309e+00	1.5871879578e+02	1.6363636255e+00	5.7760028653e+01	7.4187388389e+00	9.1733002663e-01	8.2669973373e-02	8.2099778674e-01	2.7317000000e+05	4.1200000000e+02	1.6238176740e+00	1.6193323783e+00	6.0001335144e+01	1.3510315895e+01	1.8360000610e+01	1.1220000267e+01	5.6614999771e+00	1.1441978422e+03
1.2475000000e+03	1.1760000000e+03	1.0607993603e+00	1.4421099854e+02	1.9333332777e+00	5.7468170830e+01	7.1425562785e+00	9.1019684076e-01	8.9803159237e-02	7.3519149430e-01	2.7319300000e+05	4.1300000000e+02	1.8006313888e+00	1.7639355565e+00	1.6439420700e+01	1.3979474068e+01	1.9719999313e+01	1.0199999809e+01	5.6729998589e+00	9.0839793634e+02
1.0235000000e+03	9.9250000000e+02	1.0312342644e+00	1.1831659698e+02	1.6785713434e+00	5.6355513308e+01	8.5758214154e+00	9.1795980930e-01	8.2040190697e-02	6.6354338657e-01	2.7320900000e+05	4.1400000000e+02	1.6729291109e+00	1.6781394935e+00	2.4285335541e+01	1.3435841560e+01	1.5980000496e+01	9.5200004578e+00	5.6810002327e+00	7.2859376400e+02
1.3685000000e+03	1.2930000000e+03	1.0583913326e+00	1.5819859314e+02	2.0322580338e+00	5.7518653987e+01	7.7405474517e+00	8.5923433304e-01	1.4076566696e-01	6.5041216475e-01	2.7323800000e+05	4.1500000000e+02	1.8562049202e+00	1.8145019851e+00	4.6810394287e+01	1.3887742996e+01	2.1420000076e+01	1.0539999962e+01	5.6954998970e+00	1.0517773271e+03
1.3150000000e+03	1.2760000000e+03	1.0305643082e+00	1.5201399231e+02	1.6250000000e+00	5.7720029784e+01	7.6767692230e+00	9.1652506590e-01	8.3474934101e-02	7.9017294501e-01	2.7327600000e+05	4.1600000000e+02	1.6324693510e+00	1.6361790650e+00	5.8679519653e+01	1.3947929382e+01	1.7680000305e+01	1.0880000114e+01	5.7144999504e+00	1.0760963790e+03
1.1120000000e+03	1.0780000000e+03	1.0315399170e+00	1.2854719543e+02	1.5666667223e+00	5.5690079017e+01	8.3156345915e+00	9.3140834570e-01	6.8591654301e-02	7.6268825331e-01	2.7328100000e+05	4.1700000000e+02	1.6022459536e+00	1.6174565885e+00	5.8073448181e+01	1.3558519363e+01	1.5980000496e+01	1.0199999809e+01	5.7170000076e+00	8.3705694346e+02
6.1650000000e+02	4.1950000000e+02	1.4696066380e+00	7.1267395020e+01	1.2307692766e+00	5.5785123967e+01	1.1396285180e+01	9.5687383413e-01	4.3126165867e-02	6.5589564206e-01	2.7329100000e+05	4.1800000000e+02	1.2501061544e+00	1.3903776273e+00	6.9625732422e+01	1.2729732513e+01	1.0880000114e+01	8.8400001526e+00	5.7220001221e+00	2.5618934178e+02
1.0280000000e+03	1.0085000000e+03	1.0193356276e+00	1.1883679962e+02	1.4333333969e+00	5.6246716698e+01	7.8865140971e+00	9.4210451841e-01	5.7895481586e-02	7.8057677877e-01	2.7336900000e+05	4.1900000000e+02	1.4547211214e+00	1.4660323590e+00	1.4191196442e+01	1.3856378555e+01	1.4619999886e+01	1.0199999809e+01	5.7610001564e+00	7.9792827592e+02
4.6300000000e+02	4.3400000000e+02	1.0668202639e+00	5.3522800446e+01	1.8421053886e+00	5.3314345992e+01	6.3195768511e+00	9.0393584967e-01	9.6064150333e-02	3.8416353806e-01	2.7337400000e+05	4.2000000000e+02	1.8283004034e+00	1.8543479700e+00	6.3547443390e+01	1.3191094398e+01	1.1900000572e+01	6.4600000381e+00	5.7635002136e+00	1.9893142307e+02
1.4690000000e+03	1.3890000000e+03	1.0575953722e+00	1.6981639099e+02	1.8484847546e+00	5.7779904306e+01	7.2777683360e+00	8.8897168636e-01	1.1102831364e-01	7.5488985514e-01	2.7337600000e+05	4.2100000000e+02	1.7533044201e+00	1.7113304646e+00	3.5069683075e+01	1.4152509689e+01	2.0739999771e+01	1.1220000267e+01	5.7645001411e+00	1.2056608645e+03
2.8250000000e+02	2.7100000000e+02	1.0424354076e+00	3.2656997681e+01	1.7333333492e+00	5.0086378738e+01	7.0271788815e+00	9.2979925871e-01	7.0200741291e-02	nan	2.7340400000e+05	4.2200000000e+02	1.7345205257e+00	1.7406310364e+00	3.1627422333e+01	1.4285215378e+01	8.8400001526e+00	5.0999999046e+00	5.7785000801e+00	1.0182463119e+02
1.1330000000e+03	1.0725000000e+03	1.0564103127e+00	1.3097479248e+02	1.6451612711e+00	5.6826584507e+01	8.4615346074e+00	9.1026818752e-01	8.9731812477e-02	6.8587500185e-01	2.7342000000e+05	4.2300000000e+02	1.6018148772e+00	1.5852585520e+00	6.7993499756e+01	1.4104298592e+01	1.7340000153e+01	1.0539999962e+01	5.7864999771e+00	8.4477689769e+02
2.1005000000e+03	1.9985000000e+03	1.0510382652e+00	2.4281779480e+02	1.5476191044e+00	5.8756588404e+01	8.7917488354e+00	9.0604597330e-01	9.3954026699e-02	1.1047293976e+00	2.7350400000e+05	4.2400000000e+02	1.5831250923e+00	1.5855054778e+00	3.0678289413e+01	1.3306185722e+01	2.2100000381e+01	1.4279999733e+01	5.8284997940e+00	2.1476948630e+03
1.5315000000e+03	1.4830000000e+03	1.0327039957e+00	1.7704139709e+02	1.8750000000e+00	5.7180591260e+01	8.4558529134e+00	9.0697854757e-01	9.3021452427e-02	8.4604539732e-01	2.7350700000e+05	4.2500000000e+02	1.9085477263e+00	1.9462963437e+00	1.9716670990e+01	1.3422877312e+01	2.0399999619e+01	1.0880000114e+01	5.8299999237e+00	1.2324315273e+03
2.0075000000e+03	1.6505000000e+03	1.2162981033e+00	2.3206700134e+02	2.9062500000e+00	5.7027288232e+01	8.0642914839e+00	7.4722778797e-01	2.5277221203e-01	nan	2.7353200000e+05	4.2600000000e+02	2.8587541354e+00	2.8752046996e+00	4.2344722748e+01	1.4164578438e+01	3.1620000839e+01	1.0880000114e+01	5.8425002098e+00	1.2121520503e+03
1.1780000000e+03	1.1510000000e+03	1.0234578848e+00	1.3617680359e+02	1.6333333254e+00	5.6505766063e+01	8.0818230995e+00	9.2237222195e-01	7.7627778053e-02	7.5198314472e-01	2.7353400000e+05	4.2700000000e+02	1.6021217518e+00	1.5987811410e+00	2.1616073608e+01	1.3867892265e+01	1.6659999847e+01	1.0199999809e+01	5.8435001373e+00	9.3397847943e+02
1.4325000000e+03	1.3970000000e+03	1.0254116058e+00	1.6559700012e+02	1.5588234663e+00	5.8278990450e+01	8.3221663977e+00	9.2597657442e-01	7.4023425579e-02	8.9589688275e-01	2.7358300000e+05	4.2800000000e+02	1.5296802499e+00	1.5253149301e+00	5.8436485291e+01	1.3871802330e+01	1.8020000458e+01	1.1560000420e+01	5.8680000305e+00	1.2791222849e+03
1.7800000000e+02	1.5800000000e+02	1.1265822649e+00	2.0576799393e+01	1.0000000000e+00	3.6464480874e+01	1.3339107860e+01	9.3112760782e-01	6.8872392178e-02	nan	2.7359600000e+05	4.2900000000e+02	9.5867506564e-01	8.9161735287e-01	7.2644758224e+00	1.3496853828e+01	5.7800002098e+00	5.7800002098e+00	5.8744997978e+00	6.9051317201e+01
9.8900000000e+02	9.6400000000e+02	1.0259336233e+00	1.1432839966e+02	1.6428570747e+00	5.5875612145e+01	8.4774981723e+00	9.2226886749e-01	7.7731132507e-02	6.6322686742e-01	2.7362600000e+05	4.3000000000e+02	1.6268302020e+00	1.6245353162e+00	2.3578317642e+01	1.2886595726e+01	1.5640000343e+01	9.5200004578e+00	5.8895001411e+00	7.0621920969e+02
1.2200000000e+03	1.1755000000e+03	1.0378562212e+00	1.4103199768e+02	1.6250000000e+00	5.7202419355e+01	8.6952059809e+00	9.1929763556e-01	8.0702364445e-02	7.5832649365e-01	2.7363000000e+05	4.3100000000e+02	1.6199673481e+00	1.6370418713e+00	2.6000478745e+01	1.2972347260e+01	1.7680000305e+01	1.0880000114e+01	5.8914999962e+00	9.5099355710e+02
1.2655000000e+03	1.1575000000e+03	1.0933045149e+00	1.4629179382e+02	1.8709676266e+00	5.7108854590e+01	8.1782246134e+00	8.7493067980e-01	1.2506932020e-01	6.4727315223e-01	2.7370600000e+05	4.3200000000e+02	1.8586383341e+00	1.7670442658e+00	1.8002267838e+01	1.3787799835e+01	1.9719999313e+01	1.0539999962e+01	5.9295001030e+00	8.9707212651e+02
1.2505000000e+03	1.2055000000e+03	1.0373289585e+00	1.4455780029e+02	1.6250000000e+00	5.7004716981e+01	7.8460006486e+00	9.1038775444e-01	8.9612245560e-02	7.3719810879e-01	2.7373600000e+05	4.3300000000e+02	1.6281823659e+00	1.6234801139e+00	2.9191740036e+01	1.3937507629e+01	1.7680000305e+01	1.0880000114e+01	5.9444999695e+00	9.9079775252e+02
1.1785000000e+03	1.1145000000e+03	1.0574249029e+00	1.3623460388e+02	2.1071426868e+00	5.6115807270e+01	8.3006245070e+00	8.6084115505e-01	1.3915884495e-01	5.9465129290e-01	2.7377100000e+05	4.3400000000e+02	2.1015468366e+00	2.0928878998e+00	1.6020198822e+01	1.4045159340e+01	2.0059999466e+01	9.5200004578e+00	5.9619998932e+00	7.8671079630e+02
1.2725000000e+03	1.2265000000e+03	1.0375051498e+00	1.4710099792e+02	1.7419354916e+00	5.6952049497e+01	7.5408158298e+00	9.0498304367e-01	9.5016956329e-02	7.2779725491e-01	2.7382600000e+05	4.3500000000e+02	1.7157261110e+00	1.7242386987e+00	4.9398193359e+01	1.4074263573e+01	1.8360000610e+01	1.0539999962e+01	5.9895000458e+00	9.9275666672e+02
1.2220000000e+03	1.1780000000e+03	1.0373514891e+00	1.4126319885e+02	1.5454545021e+00	5.7782433521e+01	8.4280744659e+00	9.2732429504e-01	7.2675704956e-02	7.9674595321e-01	2.7384000000e+05	4.3600000000e+02	1.5193860528e+00	1.5435751012e+00	5.5235809326e+01	1.2695420265e+01	1.7340000153e+01	1.1220000267e+01	5.9965000153e+00	9.8523887878e+02
9.4200000000e+02	9.1000000000e+02	1.0351648331e+00	1.0889519501e+02	1.6071428061e+00	5.6282901554e+01	7.4244916000e+00	9.3499356508e-01	6.5006434917e-02	6.9537682568e-01	2.7385100000e+05	4.3700000000e+02	1.5993844109e+00	1.6149204703e+00	6.0890079498e+01	1.3737094879e+01	1.5300000191e+01	9.5200004578e+00	6.0019998550e+00	6.4848088280e+02
1.2645000000e+03	1.2205000000e+03	1.0360507965e+00	1.4617619324e+02	1.4848483801e+00	5.6911214953e+01	8.6204078707e+00	9.4993579388e-01	5.0064206123e-02	9.8213559453e-01	2.7385700000e+05	4.3800000000e+02	1.4952180781e+00	1.5091083094e+00	5.1480625153e+01	1.3959986687e+01	1.6659999847e+01	1.1220000267e+01	6.0050001144e+00	1.0432906297e+03
1.3085000000e+03	1.2590000000e+03	1.0393168926e+00	1.5126260376e+02	1.6562500000e+00	5.7582516956e+01	9.2996955000e+00	9.1535574198e-01	8.4644258022e-02	7.8203179048e-01	2.7385900000e+05	4.3900000000e+02	1.6510232482e+00	1.6531049701e+00	1.0646750450e+01	1.2933338165e+01	1.8020000458e+01	1.0880000114e+01	6.0060000420e+00	1.0443659357e+03
1.1550000000e+03	1.1115000000e+03	1.0391362906e+00	1.3351799011e+02	1.6451612711e+00	5.6474850810e+01	7.4926794679e+00	9.2289662361e-01	7.7103376389e-02	7.4346130095e-01	2.7390500000e+05	4.4000000000e+02	1.6074069787e+00	1.6277407077e+00	7.5507080078e+01	1.4181631088e+01	1.7340000153e+01	1.0539999962e+01	6.0289998055e+00	8.7482089997e+02
8.4650000000e+02	8.2400000000e+02	1.0273058414e+00	9.7855400085e+01	1.5185185671e+00	5.5228310502e+01	7.3215714543e+00	9.4027739763e-01	5.9722602367e-02	6.7400206439e-01	2.7391500000e+05	4.4100000000e+02	1.5072840185e+00	1.5107054372e+00	6.3813495636e+01	1.4271966934e+01	1.3940000534e+01	9.1800003052e+00	6.0339999199e+00	5.7915781625e+02
1.2295000000e+03	1.1945000000e+03	1.0293009281e+00	1.4213020325e+02	1.5625000000e+00	5.7100000000e+01	7.8508618473e+00	9.1874182224e-01	8.1258177757e-02	7.6043260057e-01	2.7393300000e+05	4.4200000000e+02	1.5779220649e+00	1.5671043953e+00	1.5501041412e+01	1.3502521515e+01	1.7000000000e+01	1.0880000114e+01	6.0430002213e+00	9.9760484693e+02
1.4160000000e+03	1.3615000000e+03	1.0400294065e+00	1.6368959045e+02	1.6176470518e+00	5.7618016760e+01	7.3955508654e+00	9.2059117556e-01	7.9408824444e-02	8.5772410161e-01	2.7397200000e+05	4.4300000000e+02	1.5724935696e+00	1.5556886704e+00	5.5460098267e+01	1.4016196251e+01	1.8700000763e+01	1.1560000420e+01	6.0625000000e+00	1.2146196922e+03
1.4680000000e+03	1.3100000000e+03	1.1206107140e+00	1.6970079041e+02	2.2666668892e+00	5.8577282531e+01	6.2937579411e+00	8.6950755119e-01	1.3049244881e-01	7.0237386273e-01	2.7419100000e+05	4.4400000000e+02	2.1870837604e+00	2.0741242810e+00	7.2506118774e+01	1.3720088959e+01	2.3120000839e+01	1.0199999809e+01	6.1719999313e+00	9.9770083393e+02
9.0800000000e+02	8.5000000000e+02	1.0682352781e+00	1.0496479797e+02	1.4482759237e+00	5.6271523179e+01	8.4291100048e+00	9.4057440758e-01	5.9425592422e-02	7.0738172601e-01	2.7420300000e+05	4.4500000000e+02	1.4879496149e+00	1.4829618705e+00	2.8866174698e+01	1.3693238258e+01	1.4279999733e+01	9.8599996567e+00	6.1779999733e+00	6.1248732398e+02
1.2280000000e+03	1.1820000000e+03	1.0389170647e+00	1.4195680237e+02	1.4848483801e+00	5.7350200803e+01	7.1824927964e+00	9.3444758654e-01	6.5552413464e-02	8.4005556859e-01	2.7427900000e+05	4.4600000000e+02	1.4937575231e+00	1.5241407742e+00	5.8239398956e+01	1.4030352592e+01	1.6659999847e+01	1.1220000267e+01	6.2160000801e+00	9.9614539026e+02
1.0215000000e+03	9.8050000000e+02	1.0418154001e+00	1.1808539581e+02	1.7499998808e+00	5.6115384615e+01	6.9661374524e+00	9.0814739466e-01	9.1852605343e-02	6.3213624852e-01	2.7435700000e+05	4.4700000000e+02	1.7829779080e+00	1.8130501289e+00	3.4925529480e+01	1.3506692886e+01	1.6659999847e+01	9.5200004578e+00	6.2550001144e+00	6.8778710012e+02
1.1355000000e+03	1.0920000000e+03	1.0398352146e+00	1.3126379395e+02	1.8620691299e+00	5.7078924545e+01	6.0556696010e+00	9.1552954912e-01	8.4470450878e-02	7.0500410944e-01	2.7436400000e+05	4.4800000000e+02	1.8130443136e+00	1.8187901155e+00	4.2343547821e+01	1.3976929665e+01	1.8360000610e+01	9.8599996567e+00	6.2585000992e+00	8.0276138423e+02
1.6600000000e+03	1.5480000000e+03	1.0723514557e+00	1.9189599609e+02	1.5675674677e+00	5.8548367221e+01	7.1667040581e+00	9.2332804203e-01	7.6671957970e-02	9.9875456563e-01	2.7436700000e+05	4.4900000000e+02	1.5279872020e+00	1.5048696759e+00	3.6299644470e+01	1.3766996384e+01	1.9719999313e+01	1.2579999924e+01	6.2600002289e+00	1.5148787380e+03
1.5520000000e+03	1.5255000000e+03	1.0173712969e+00	1.7941119385e+02	1.2500000000e+00	5.5316153363e+01	9.7057906753e+00	9.7993057966e-01	2.0069420338e-02	1.9976635544e+00	2.7437200000e+05	4.5000000000e+02	1.2628494362e+00	1.2712359755e+00	4.7107601166e+01	1.3323822975e+01	1.7000000000e+01	1.3600000381e+01	6.2624998093e+00	1.5731337220e+03
1.5895000000e+03	1.5290000000e+03	1.0395683050e+00	1.8374620056e+02	1.6857141256e+00	5.9038029925e+01	8.9269926132e+00	9.1134434938e-01	8.8655650616e-02	8.9297919393e-01	2.7440100000e+05	4.5100000000e+02	1.6623069075e+00	1.6556765353e+00	7.1394905090e+01	1.3074474335e+01	2.0059999466e+01	1.1900000572e+01	6.2769999504e+00	1.4006424366e+03
1.6735000000e+03	1.6070000000e+03	1.0413814783e+00	1.9345658875e+02	1.8823529482e+00	5.8390865955e+01	8.7700767581e+00	8.8977932930e-01	1.1022067070e-01	8.3455250839e-01	2.7446000000e+05	4.5200000000e+02	1.7727386837e+00	1.7349503531e+00	1.2891658783e+01	1.2884513855e+01	2.1760000229e+01	1.1560000420e+01	6.3064999580e+00	1.4877905004e+03
7.1950000000e+02	5.6950000000e+02	1.2633889914e+00	8.3174194336e+01	1.2857141495e+00	5.1302547771e+01	1.2947623292e+01	9.6774935722e-01	3.2250642776e-02	8.4344526312e-01	2.7448800000e+05	4.5300000000e+02	1.2300920000e+00	1.0527361389e+00	9.0601301193e+00	1.3367033005e+01	1.2239999771e+01	9.5200004578e+00	6.3204998970e+00	4.1369063912e+02
1.4935000000e+03	1.4500000000e+03	1.0299999714e+00	1.7264859009e+02	1.6764706373e+00	5.6140696910e+01	6.8446599187e+00	9.1693258286e-01	8.3067417145e-02	8.7596366645e-01	2.7450900000e+05	4.5400000000e+02	1.6833340639e+00	1.6935629580e+00	2.6849832535e+01	1.3252525330e+01	1.9380001068e+01	1.1560000420e+01	6.3309998512e+00	1.2781596838e+03
3.5550000000e+02	2.6400000000e+02	1.3465908766e+00	4.1095798492e+01	1.7058821917e+00	5.2276872964e+01	7.0921036509e+00	9.1883057356e-01	8.1169426441e-02	3.5719011842e-01	2.7452000000e+05	4.5500000000e+02	1.6606639843e+00	1.5018948063e+00	3.3984539032e+01	1.4342325211e+01	9.8599996567e+00	5.7800002098e+00	6.3365001678e+00	1.2187641355e+02
2.7600000000e+02	2.2500000000e+02	1.2266666889e+00	3.1905599594e+01	1.9333332777e+00	5.0011583012e+01	9.5248030718e+00	8.7688153982e-01	1.2311846018e-01	nan	2.7454800000e+05	4.5600000000e+02	1.9392819445e+00	1.6928738413e+00	6.2307876587e+01	1.2550845146e+01	9.8599996567e+00	5.0999999046e+00	6.3505001068e+00	7.9081322793e+01
1.6210000000e+03	1.5185000000e+03	1.0675008297e+00	1.8738758850e+02	1.6666666269e+00	5.9215894869e+01	8.4677299634e+00	9.0215808153e-01	9.7841918468e-02	8.6365076617e-01	2.7467900000e+05	4.5700000000e+02	1.6508503940e+00	1.6164865770e+00	6.0825042725e+01	1.3512081146e+01	2.0399999619e+01	1.2239999771e+01	6.4159998894e+00	1.4058658896e+03
1.2125000000e+03	1.1845000000e+03	1.0236387253e+00	1.4016499329e+02	1.5806452036e+00	5.7119391026e+01	8.7601228412e+00	9.2443621159e-01	7.5563788414e-02	7.7775648334e-01	2.7478400000e+05	4.5800000000e+02	1.5929690768e+00	1.6067119391e+00	1.8592788696e+01	1.3065394402e+01	1.6659999847e+01	1.0539999962e+01	6.4685001373e+00	9.7164270398e+02
